ID	KIND                          	SUBMITTER                                     	CREATED AT	CLOSES AT	STATE  
1 	upgrade                       	oasis1qrs2dl6nz6fcxxr3tq37laxlz6hxk6kuscnr6rxj	5633      	5645     	passed	
2 	upgrade                       	oasis1qrs2dl6nz6fcxxr3tq37laxlz6hxk6kuscnr6rxj	7525      	7537     	passed	
3 	upgrade                       	oasis1qrs2dl6nz6fcxxr3tq37laxlz6hxk6kuscnr6rxj	8817      	8829     	passed	
4 	upgrade                       	oasis1qrs2dl6nz6fcxxr3tq37laxlz6hxk6kuscnr6rxj	14183     	14195    	passed	
5 	upgrade                       	oasis1qrs2dl6nz6fcxxr3tq37laxlz6hxk6kuscnr6rxj	14869     	14881    	passed	
6 	cancel upgrade 5              	oasis1qrs2dl6nz6fcxxr3tq37laxlz6hxk6kuscnr6rxj	14895     	14907    	passed	
7 	upgrade                       	oasis1qrs2dl6nz6fcxxr3tq37laxlz6hxk6kuscnr6rxj	14982     	14994    	passed	
8 	upgrade                       	oasis1qpwaggvmhwq5uk40clase3knt655nn2tdy39nz2f	29493     	29505    	passed	
9 	change parameters (governance)	oasis1qrx85mv85k708ylww597rd42enlzhdmeu56wqj72	30693     	30705    	passed	
10	change parameters (staking)   	oasis1qqxxut9x74dutu587f9nj8787qz4dm0ueu05l88c	33059     	33071    	passed	
11	upgrade                       	oasis1qqxxut9x74dutu587f9nj8787qz4dm0ueu05l88c	35915     	35927    	passed	
