NETWORK	PARATIME    	ID                                                              	DENOMINATION(S) 
mainnet	cipher      	000000000000000000000000000000000000000000000000e199119c992377cb	ROSE[9] (*)    	
mainnet	emerald (*) 	000000000000000000000000000000000000000000000000e2eaa99fc008f87f	ROSE[18] (*)   	
mainnet	sapphire    	000000000000000000000000000000000000000000000000f80306c9858e7279	ROSE[18] (*)   	
testnet	cipher      	0000000000000000000000000000000000000000000000000000000000000000	TEST[9] (*)    	
testnet	emerald (*) 	00000000000000000000000000000000000000000000000072c8215e60d5bca7	TEST[18] (*)   	
testnet	pontusx_dev 	0000000000000000000000000000000000000000000000004febe52eb412b421	EUROe[18] (*)  	
       	            	                                                                	TEST[18]       	
testnet	pontusx_test	00000000000000000000000000000000000000000000000004a6f9071c007069	EUROe[18] (*)  	
       	            	                                                                	TEST[18]       	
testnet	sapphire    	000000000000000000000000000000000000000000000000a6d1e3ebf60dff6c	TEST[18] (*)   	
testnet	sapphire2   	000000000000000000000000000000000000000000000000a6d1e3ebf60dff6d	TEST[18] (*)   	
